company_name,ticker,sector,ticker_yfinance,currency,exchange,country,index,has_adr,adr_ticker
Uber,UBER,Industrials,UBER,USD,NYSE/NASDAQ,US,SP500,False,
"UDR, Inc.",UDR,Real Estate,UDR,USD,NYSE/NASDAQ,US,SP500,False,
Ulta Beauty,ULTA,Consumer Discretionary,ULTA,USD,NYSE/NASDAQ,US,SP500,False,
Union Pacific Corporation,UNP,Industrials,UNP,USD,NYSE/NASDAQ,US,SP500,False,
United Airlines Holdings,UAL,Industrials,UAL,USD,NYSE/NASDAQ,US,SP500,False,
United Parcel Service,UPS,Industrials,UPS,USD,NYSE/NASDAQ,US,SP500,False,
United Rentals,URI,Industrials,URI,USD,NYSE/NASDAQ,US,SP500,False,
UnitedHealth Group,UNH,Health Care,UNH,USD,NYSE/NASDAQ,US,SP500,False,
Universal Health Services,UHS,Health Care,UHS,USD,NYSE/NASDAQ,US,SP500,False,
Valero Energy,VLO,Energy,VLO,USD,NYSE/NASDAQ,US,SP500,False,
Veeva Systems,VEEV,Health Care,VEEV,USD,NYSE/NASDAQ,US,SP500,False,
Ventas,VTR,Real Estate,VTR,USD,NYSE/NASDAQ,US,SP500,False,
Veralto,VLTO,Industrials,VLTO,USD,NYSE/NASDAQ,US,SP500,False,
Verisign,VRSN,Information Technology,VRSN,USD,NYSE/NASDAQ,US,SP500,False,
Verisk Analytics,VRSK,Industrials,VRSK,USD,NYSE/NASDAQ,US,SP500,False,
Verizon,VZ,Communication Services,VZ,USD,NYSE/NASDAQ,US,SP500,False,
Vertex Pharmaceuticals,VRTX,Health Care,VRTX,USD,NYSE/NASDAQ,US,SP500,False,
Vertiv,VRT,Industrials,VRT,USD,NYSE/NASDAQ,US,SP500,False,
Viatris,VTRS,Health Care,VTRS,USD,NYSE/NASDAQ,US,SP500,False,
Vici Properties,VICI,Real Estate,VICI,USD,NYSE/NASDAQ,US,SP500,False,
Visa Inc.,V,Financials,V,USD,NYSE/NASDAQ,US,SP500,False,
Vistra Corp.,VST,Utilities,VST,USD,NYSE/NASDAQ,US,SP500,False,
Vulcan Materials Company,VMC,Materials,VMC,USD,NYSE/NASDAQ,US,SP500,False,
W. R. Berkley Corporation,WRB,Financials,WRB,USD,NYSE/NASDAQ,US,SP500,False,
W. W. Grainger,GWW,Industrials,GWW,USD,NYSE/NASDAQ,US,SP500,False,
Wabtec,WAB,Industrials,WAB,USD,NYSE/NASDAQ,US,SP500,False,
Walmart,WMT,Consumer Staples,WMT,USD,NYSE/NASDAQ,US,SP500,False,
Walt Disney Company (The),DIS,Communication Services,DIS,USD,NYSE/NASDAQ,US,SP500,False,
Warner Bros. Discovery,WBD,Communication Services,WBD,USD,NYSE/NASDAQ,US,SP500,False,
Waste Management,WM,Industrials,WM,USD,NYSE/NASDAQ,US,SP500,False,
Waters Corporation,WAT,Health Care,WAT,USD,NYSE/NASDAQ,US,SP500,False,
WEC Energy Group,WEC,Utilities,WEC,USD,NYSE/NASDAQ,US,SP500,False,
Wells Fargo,WFC,Financials,WFC,USD,NYSE/NASDAQ,US,SP500,False,
Welltower,WELL,Real Estate,WELL,USD,NYSE/NASDAQ,US,SP500,False,
West Pharmaceutical Services,WST,Health Care,WST,USD,NYSE/NASDAQ,US,SP500,False,
Western Digital,WDC,Information Technology,WDC,USD,NYSE/NASDAQ,US,SP500,False,
Weyerhaeuser,WY,Real Estate,WY,USD,NYSE/NASDAQ,US,SP500,False,
"Williams-Sonoma, Inc.",WSM,Consumer Discretionary,WSM,USD,NYSE/NASDAQ,US,SP500,False,
Williams Companies,WMB,Energy,WMB,USD,NYSE/NASDAQ,US,SP500,False,
Willis Towers Watson,WTW,Financials,WTW,USD,NYSE/NASDAQ,US,SP500,False,
"Workday, Inc.",WDAY,Information Technology,WDAY,USD,NYSE/NASDAQ,US,SP500,False,
Wynn Resorts,WYNN,Consumer Discretionary,WYNN,USD,NYSE/NASDAQ,US,SP500,False,
Xcel Energy,XEL,Utilities,XEL,USD,NYSE/NASDAQ,US,SP500,False,
Xylem Inc.,XYL,Industrials,XYL,USD,NYSE/NASDAQ,US,SP500,False,
Yum! Brands,YUM,Consumer Discretionary,YUM,USD,NYSE/NASDAQ,US,SP500,False,
Zebra Technologies,ZBRA,Information Technology,ZBRA,USD,NYSE/NASDAQ,US,SP500,False,
Zimmer Biomet,ZBH,Health Care,ZBH,USD,NYSE/NASDAQ,US,SP500,False,
Zoetis,ZTS,Health Care,ZTS,USD,NYSE/NASDAQ,US,SP500,False,
